Customer Number;Sales and Distribution Document Number;Consignment;Sales order date;delivery date;Status;Gross Weight of the Item;Net Value of the Sales Order in Document Currency;Transport number;netvolume confirmed;netvolume unconfirmed;Status of confirmation;Date of Confirmation;Trackingnumber;Trackingnumber;Trackingnumber;Container
9075310165;0001889299;4T DOOR SAMPLE 2017;12.10.2016;24.07.2017;Confirmed Week 30.2017;140;0,00;;0,000;0,189;Not confirmed;;;;;LA00
9075310165;0001889308;5T DOOR SAMPLE 2017;12.10.2016;24.07.2017;Confirmed Week 30.2017;164;0,00;;0,000;0,224;Not confirmed;;;;;LA00
9075310165;0001889143;6T DOOR SAMPLE 2017;13.10.2016;24.07.2017;Confirmed Week 30.2017;194;0,00;;0,000;0,266;Not confirmed;;;;;LA00
9075302574;0004740141;NARAYAN NEW SHELVES;21.12.2016;24.07.2017;Confirmed Week 30.2017;9;83,43;;0,000;0,043;Not confirmed;;;;;
9075310188;0004739936;HOUSTON SR KIT.1;23.12.2016;24.07.2017;Confirmed Week 30.2017;28;186,88;;0,000;0,180;Not confirmed;;;;;
9075310188;0004739942;HOUSTON SR KITCHEN-2 DRAWERS;23.12.2016;24.07.2017;Confirmed Week 30.2017;21;131,55;;0,000;0,135;Not confirmed;;;;;
9075310188;0004739297;HANDLE 394.282;14.12.2016;12.01.2017;Post dispatch on 11.01.2017;0;0,00;201702388004;0,000;0,000;Not confirmed;;;;;
9075310453;0004740299;FRIDMAN ADD-ON BLENDERS;22.12.2016;24.07.2017;Confirmed Week 30.2017;29;132,85;;0,000;0,031;Not confirmed;;;;;
9075310711;0001416956;FRONT MUSTER;21.12.2016;24.07.2017;Confirmed Week 30.2017;10;0,00;;0,000;0,014;Not confirmed;;;;;
9075310711;0001908175;SR1 BATH 1 ADA;23.12.2016;24.07.2017;Confirmed Week 30.2017;143;640,52;;0,000;1,206;Not confirmed;;;;;
9075310711;0001908178;SR1 BATH 2;23.12.2016;24.07.2017;Confirmed Week 30.2017;175;1.101,04;;0,000;1,113;Not confirmed;;;;;LA05
9075310711;0004740336;GUERRERO ADDITIONAL;23.12.2016;24.07.2017;Confirmed Week 30.2017;77;0,00;;0,000;0,756;Not confirmed;;;;;
9075310711;0004740360;FIMA KITCHEN ADD ON;22.12.2016;24.07.2017;Confirmed Week 30.2017;9;495,95;;0,000;0,063;Not confirmed;;;;;
9075311838;0004740443;PARNESS MASTER BATH REPL.;22.12.2016;24.07.2017;Confirmed Week 30.2017;133;0,00;;0,000;1,164;Not confirmed;;;;;
9075312890;0004740377;734-SANDRA TULLY ADD;23.12.2016;24.07.2017;Confirmed Week 30.2017;37;420,14;;0,000;0,161;Not confirmed;;;;;
9075312890;0001908666;782-Hiten Rawal-Study;23.12.2016;00.00.0000;Confirmed Week 00.0000;408;3.246,08;;0,000;1,825;Not confirmed;;;;;NJ05
9075313356;0004740081;WHARF DISPLAY K3 REPL;21.12.2016;24.07.2017;Confirmed Week 30.2017;11;70,76;;0,000;0,108;Not confirmed;;;;;
9075313356;0004740218;MINCHELLO KITCHEN SENSOR REPL.;21.12.2016;24.07.2017;Confirmed Week 30.2017;0;0,00;;0,000;0,000;Not confirmed;;;;;
9075313356;0001907747;WEINERT KITCHEN;22.12.2016;24.07.2017;Confirmed Week 30.2017;1.180;9.928,00;;0,000;8,214;Not confirmed;;;;;NJ06
9075313413;0001908715;P-DRAWERS;22.12.2016;24.07.2017;Confirmed Week 30.2017;52;430,40;;0,000;0,285;Not confirmed;;;;;HN04
9075313738;0004740063;MC_SANBORN_KITCHEN BONDI;21.12.2016;24.07.2017;Confirmed Week 30.2017;487;150,83;;0,000;3,750;Not confirmed;;;;;
9075315495;0004740165;note pads;21.12.2016;00.00.0000;ORDER BLOCK;33;0,00;;0,000;0,004;Not confirmed;;;;;
9075315495;0001907759;PENS + NOTE PADS;19.12.2016;10.01.2017;Post dispatch on 09.01.2017;20;630,00;201702188055;0,000;0,035;Not confirmed;;;;;UPS
9075315985;0001902306;GKC-DENVER6TOWERS;22.11.2016;24.07.2017;Confirmed Week 30.2017;238;829,63;;0,000;0,891;Not confirmed;;;;;CO30
9075315985;0001906332;GKC-DENVER K1 VALAIS;12.12.2016;24.07.2017;Confirmed Week 30.2017;301;6.930,46;;0,000;2,545;Not confirmed;;;;;NJ30
9075315985;0001903457;GKC-DALLAS4TOWERS;19.12.2016;26.01.2017;Confirmed Week 04.2017;274;1.714,00;;0,000;1,253;Not confirmed;;;;;
90753119431;0001908844;765-BRAD BANKS/MH;23.12.2016;24.07.2017;Confirmed Week 30.2017;2.011;23.659,25;;0,000;14,112;Not confirmed;;;;;NJ07
90753119431;0004739453;MCCAUGE CABINERY FLOOR ADD;20.12.2016;24.07.2017;Confirmed Week 30.2017;20;290,97;;0,000;0,082;Not confirmed;;;;;
90753125361;0004740480;PARSEY - D/W PARTS;22.12.2016;24.07.2017;Confirmed Week 30.2017;2;0,00;;0,000;0,003;Not confirmed;;;;;
90753125361;0001908673;BALDO-23 ANNES CT. KITCHEN;22.12.2016;24.07.2017;Confirmed Week 30.2017;1.227;12.227,17;;0,000;7,902;Not confirmed;;;;;SF07
90753125361;0001909548;BALDO-23 ANNES CT.BATH 2;23.12.2016;24.07.2017;Confirmed Week 30.2017;70;905,58;;0,000;0,374;Not confirmed;;;;;SF07
90753125361;0001908077;PISANI-734 WISCONSIN ST.;20.12.2016;24.07.2017;Confirmed Week 30.2017;1.319;9.982,44;;0,000;9,930;Not confirmed;;;;;SF07
90753126831;0001908167;BUECHNER WP LOFT WOOD;20.12.2016;24.07.2017;Confirmed Week 30.2017;501;4.833,97;;0,000;4,169;Not confirmed;;;;;CO07
